Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,246.0,272.83616521006167,0.0,0.0,9.0,118.84325894625644,86.0,318.09439266163633,93.0,334.737069430947,49.0,275.1263335204941,9.0,161.78321049793277,0.0,0.0
1002,526.0,213.13322041864876,3.0,26.471366804906026,17.0,87.52059308072488,156.0,202.98227808572096,220.0,278.26262932888113,101.0,219.70850554709594,29.0,204.93251360327892,0.0,0.0
1003,622.0,287.2581166581998,10.0,106.16838305552606,26.0,145.91985632506453,178.0,338.06240859969995,241.0,332.4000386190916,136.0,285.492369376745,31.0,187.87878787878788,0.0,0.0
1004,195.0,243.15427203351788,2.0,55.35566011624689,3.0,41.44218814753419,46.0,239.06038873297993,78.0,290.6218562539588,56.0,320.8801283520513,9.0,154.87867836861125,1.0,124.69449847872711
1051,341.0,256.01946048215746,4.0,74.47402718301993,11.0,94.88484430259639,73.0,261.049921327421,151.0,334.29267212751824,81.0,244.02000361511116,21.0,212.0997879002121,0.0,0.0
1053,481.0,242.90598376923427,5.0,52.57070760172432,23.0,121.97708952057701,114.0,287.175353301257,238.0,330.7898650432946,80.0,183.89113644722323,21.0,144.8076127430699,0.0,0.0
1054,454.0,273.5747298901483,5.0,72.62164124909224,19.0,135.87928198526782,99.0,276.0274354541906,206.0,361.94324870420803,101.0,251.0439451183138,24.0,198.8400994200497,0.0,0.0
1055,634.0,316.1479811906911,4.0,54.65227490094275,21.0,130.33763654419067,121.0,331.97069878460314,297.0,426.55866258778923,154.0,283.67226643088713,37.0,220.97467749641663,0.0,0.0
1056,740.0,234.10091014637635,3.0,19.964064683569575,37.0,124.60010102710893,147.0,223.7851662404092,363.0,315.53967715857823,148.0,216.11518355188224,40.0,180.42399639152006,2.0,63.27051625577739
1057,345.0,268.0944314066798,1.0,18.76876876876877,9.0,79.44915254237289,58.0,246.82951740573665,155.0,342.89759529234783,102.0,309.325246398787,19.0,183.5039598222909,1.0,77.70853084251588
1058,955.0,348.41553021182204,10.0,82.8500414250207,31.0,121.85055618882906,209.0,382.5386656904914,466.0,476.37545746355624,190.0,293.45895435941,49.0,252.77276244518958,0.0,0.0
1059,528.0,262.48284913201695,5.0,54.01317921572864,19.0,101.95867990340757,133.0,325.22313241227533,222.0,317.29243786356426,120.0,250.0,28.0,194.41744202194138,1.0,49.71266082045776
1060,809.0,291.8733652024894,7.0,54.83744614179397,29.0,111.52988231674486,172.0,296.25546866926175,400.0,394.7381405859888,170.0,279.94137698223193,31.0,169.4915254237288,0.0,0.0
1061,390.0,297.68038286276936,1.0,17.5530981218185,27.0,233.8067197783166,77.0,281.340202418795,173.0,368.1086026767666,91.0,302.43610621821927,21.0,225.49124879201116,0.0,0.0
1062,572.0,234.2764462065237,8.0,71.15538557324558,17.0,71.73601147776183,106.0,228.0894282701784,300.0,333.7635174224556,100.0,183.97233056148355,38.0,205.3832018160199,3.0,122.87226199642852
2000,2874.0,155.5823701463741,31.0,31.016438712517633,148.0,89.86744551786116,845.0,170.9259941015361,1270.0,194.1747572815534,432.0,132.31483580096418,147.0,136.47884577890426,1.0,5.413443637660895
3101,807.0,323.56879946753486,6.0,53.51409204423832,56.0,287.75499717383485,228.0,331.462797662315,346.0,418.7239810243005,133.0,266.6827077317934,38.0,217.8524336410021,0.0,0.0
3102,284.0,272.31496485794554,8.0,139.6891915488039,21.0,206.10462263225045,70.0,295.7454898812793,112.0,331.21395830252845,61.0,262.8857093604551,12.0,156.1077143228828,0.0,0.0
3103,396.0,318.40219986974455,5.0,75.7002271006813,32.0,290.69767441860466,109.0,375.6030323914542,160.0,379.20982153437774,66.0,254.7279042840602,24.0,249.09185262065387,0.0,0.0
3151,657.0,372.18945973046004,9.0,96.65986467618946,63.0,367.81877627276975,139.0,369.59238480151026,286.0,446.90991483709666,121.0,319.63229078613693,38.0,357.6807228915663,1.0,56.64984166369255
3153,494.0,362.45707745135445,11.0,222.89766970618035,39.0,389.0662410215483,117.0,407.79338468509286,213.0,471.49972329828444,89.0,253.23659126476028,25.0,202.8891413731537,0.0,0.0
3154,343.0,375.69690132205875,5.0,118.51149561507467,32.0,407.64331210191085,81.0,438.8816644993498,152.0,469.338603100105,58.0,270.4845404094576,15.0,216.04493734696817,0.0,0.0
3155,385.0,291.03828854367464,4.0,74.00555041628122,36.0,328.58707557502737,99.0,376.72666387609877,161.0,354.6099290780142,71.0,215.03422375673875,14.0,124.72160356347439,,
3157,476.0,353.11310746952915,8.0,120.15620306398318,39.0,300.71709461022436,110.0,388.5552808194984,212.0,435.6761200164406,87.0,299.98965552911966,20.0,217.32043898728676,0.0,0.0
