Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,1016.0,1126.8355441196043,14.0,318.2541486701523,53.0,699.8547471279546,421.0,1557.1830152389407,373.0,1342.5476010510024,119.0,668.1639528354857,36.0,647.1328419917311,0.0,0.0
1002,2753.0,1115.5052391873385,18.0,158.82820082943616,172.0,885.5024711696869,1230.0,1600.437192598954,1024.0,1295.1860565126103,249.0,541.6576027844246,59.0,416.9316656066709,1.0,40.5196236537355
1003,2083.0,961.9914099662865,37.0,392.82301730544646,143.0,802.559209787855,737.0,1399.730309763926,844.0,1164.0897618029599,271.0,568.8855301551315,50.0,303.030303030303,1.0,46.182976954694496
1004,821.0,1023.7418325103497,10.0,276.7783005812344,47.0,649.2609476447024,309.0,1605.8621764889306,355.0,1322.702038078915,86.0,492.78019711207884,12.0,206.50490449148168,2.0,249.38899695745422
1051,1282.0,962.5130449798413,19.0,353.7516291193446,119.0,1026.481497455361,334.0,1194.3927907309399,576.0,1275.1826433473545,194.0,584.4429716213774,40.0,403.999596000404,0.0,0.0
1053,1465.0,739.827996303385,23.0,241.82525496793187,101.0,535.6385235468816,416.0,1047.9381313449378,692.0,961.7923807141169,196.0,450.53328429569694,35.0,241.34602123844988,2.0,101.00040905165666
1054,1653.0,996.0771553048792,27.0,392.15686274509807,137.0,979.7611385253522,445.0,1240.7293815870185,740.0,1300.1844856364755,243.0,603.9968184529728,58.0,480.53024026512014,3.0,180.77625323137553
1055,1460.0,728.0379377577428,15.0,204.9460308785353,117.0,726.1668321747766,380.0,1042.552607753299,675.0,969.4515058813391,205.0,377.6156793398173,67.0,400.14333492594363,1.0,49.86561217518786
1056,2720.0,860.4790210785725,33.0,219.60471151926532,242.0,814.9520121232531,754.0,1147.8504445256362,1299.0,1129.1626463608627,319.0,465.81583481790835,72.0,324.76319350473614,1.0,31.635258127888694
1057,1237.0,961.2545265219215,12.0,225.22522522522522,113.0,997.5282485875706,333.0,1417.141884415695,585.0,1294.161891909829,171.0,518.5746777862016,22.0,212.47826926791578,1.0,77.70853084251588
1058,3096.0,1129.5230173149748,43.0,356.2551781275891,283.0,1112.3776581109232,854.0,1563.1005765534915,1358.0,1388.2357751834966,457.0,705.846011275002,101.0,521.0214083053908,0.0,0.0
